Soil evaporation,Soil eva avr,Soil eva var,Lakes,Lake entropy,land entropy,Precipitation,Precicpt avr,Precicpt var,Soil moisture,Soil moist avr,Soil moist var,NDVI,NDVI avr,NDVI var,Elevation,Elevation avr,Elevation var,soil entropy,Aspect,Aspect avr,Aspect var,Curvature,Curvature avr,Curvature var,Plan curvature,Plan curv avr,Plan curv var,Profile curvature,Profile curv avr,Profile curv var,Distance to river,Dist river avr,Dist river var,Slope,Slope avr,Slope var,dust_storm,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
0.7228889,0.667892,0.001527,0.0,-0.0,-0.0,717.0004,717.0004,0.0,0.25338507,0.246339,8.2e-05,0.4464,0.285411,0.001832,1310.0,1666.7778,83317.51,-19.651484,353.32483,159.47664,538.4024,-462222700.0,57829468.0,1.6856405e+17,368333700.0,34980976.0,9.988917e+16,-93889000.0,92810440.0,2.5719344e+16,19.093477,22.27572,5.06334,7.0229607,12.109464,10.613739,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5071739,0.44256,0.003277,0.0,-0.0,-4.754888,466.985,466.985,0.0,0.18623276,0.187155,2.2e-05,0.3917,0.318606,0.0041,429.0,441.1111,52.098766,-10.589219,68.498566,151.61877,1162.7651,-4956811.5,-7159839.0,63737873000000.0,-4038092.2,1664812.0,34653057000000.0,-8994904.0,-5495027.0,14334243000000.0,41.06207,39.34344,1.476841,0.19931154,0.431706,0.003645,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.22717391,0.23087,9e-06,0.0,-0.0,-15.509775,129.58012,118.85761,0.147753,0.124204025,0.127559,2.7e-05,0.07865,0.077706,1e-06,47.0,40.444443,27.80247,-43.01955,293.19858,282.74417,332.1197,-8674420.0,-7022150.0,191782340000000.0,8922261.0,5690700.5,162840480000000.0,247840.58,-1331449.0,18061040000000.0,51.41076,51.288334,4.978034,0.16414733,0.43994,0.035207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.62608695,0.598961,0.000642,0.0,-0.0,-0.0,598.9292,598.9292,0.0,0.19522128,0.190965,3.2e-05,0.2537,0.256767,0.000207,1182.0,1005.2222,5034.395,-14.473047,12.33453,27.757677,127.60446,154900370.0,-43509790.0,6423495000000000.0,-102919290.0,19492440.0,1258833700000000.0,51981076.0,-24017350.0,3031613400000000.0,10.673577,8.61468,1.737466,5.668891,3.811967,1.299884,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9117391,0.773333,0.007896,0.0,-0.0,-0.0,691.3726,691.3726,0.0,0.23472413,0.234855,6.5e-05,0.23575,0.257789,0.000192,2253.0,2244.6667,2748.2222,-19.651484,338.43417,154.91081,2923.3503,-1239202.9,-67743096.0,5171298500000000.0,8377914.5,35030770.0,1198191200000000.0,7138712.0,-32712324.0,2072504800000000.0,21.347155,21.347155,0.0,2.5201318,3.454127,2.051324,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.21086957,0.212778,0.0,0.0,-0.0,-15.509775,82.6479,82.6479,0.0,0.13499138,0.137573,3.7e-05,0.13225,0.132761,6e-06,714.0,710.7778,33.506172,-43.01955,185.71059,186.83507,19924.104,-0.0,-3442230.2,96497850000000.0,0.0,1452920.9,64698733000000.0,-0.0,-1989309.4,13857855000000.0,330.88092,330.88092,0.0,0.18341321,0.218245,0.00669,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5063043,0.529396,0.000659,0.0,-0.0,-3.698246,610.755,610.755,0.0,0.17680746,0.190493,0.000242,0.20905,0.210311,8.3e-05,643.0,634.3333,162.0,-19.651484,254.39606,180.31915,2652.9363,-2478405.8,-4130676.0,1217237900000000.0,8279685.5,-633699.56,221639540000000.0,5801279.5,-4764375.0,565692300000000.0,32.020733,32.020733,0.0,0.89304113,0.698316,0.064652,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.52108693,0.514155,4.3e-05,0.0,-0.0,-12.063158,276.31873,276.31873,0.0,0.15145977,0.152244,3.5e-05,0.10945,0.101533,9e-06,91.0,87.22222,90.83951,-27.082708,200.22485,234.17133,227.0953,12392029.0,-5094501.5,347202640000000.0,-7575504.5,2873294.5,103755770000000.0,4816524.5,-2221206.8,93132010000000.0,20.25169,18.150045,4.75668,0.77490723,0.653809,0.005398,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.24347825,0.246763,2e-06,0.0,-0.0,-15.509775,101.62937,101.62937,0.0,0.15089367,0.146898,1.7e-05,0.1279,0.1255,7e-06,772.0,762.3333,25.777779,-31.704132,51.1155,40.775078,757.437,19827246.0,-4543744.0,41973720000000.0,-9294022.0,1555676.5,5525235300000.0,10533225.0,-2988067.2,24545772000000.0,222.05145,217.75143,0.0,0.3602782,0.28104,0.010573,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.19913043,0.199879,8e-06,0.0,-0.0,-15.509775,74.75311,74.75311,0.0,0.12739941,0.128215,5.5e-05,0.0934,0.098894,1.6e-05,370.0,362.66666,14.222222,-43.01955,193.3925,211.99052,4850.102,11152826.0,-2891473.2,102716170000000.0,-4956811.5,830795.44,25051997000000.0,6196014.5,-2060678.0,29983494000000.0,166.04189,163.13474,0.0,0.108206056,0.140497,0.00258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
