FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
896,303501.0852,4112170.13,3,4,1,3,1,3,2,5,5,2,3,1,5,4,15,5,1
766,309036.5039,4105844.527,1,4,7,2,1,3,2,5,1,3,3,1,5,5,15,5,1
746,331534.2759,4085540.97,3,4,7,1,1,4,2,5,1,5,3,1,3,5,15,5,1
979,314857.4598,4102014.657,5,4,6,3,1,3,2,5,4,5,3,1,5,5,15,5,1
771,326572.471,4094767.232,3,5,7,2,5,4,2,5,5,5,3,1,2,5,15,5,1
848,312756.8145,4110941.73,5,5,5,3,1,3,2,5,3,2,4,1,5,4,15,5,1
747,305799.54,4112271.049,2,5,2,1,1,3,2,5,5,2,4,1,5,4,15,5,1
744,325129.877,4087181.106,1,5,6,1,1,2,2,2,1,3,4,1,3,3,15,5,1
899,308202.412,4102841.429,1,5,7,1,1,5,2,5,5,3,4,1,5,4,15,5,1
618,326860.721,4088286.471,3,4,7,1,1,2,2,5,1,5,4,1,3,6,15,5,1
860,308922.0928,4106248.095,3,4,5,3,1,3,2,5,5,5,4,1,5,5,15,5,1
849,316951.5827,4110818.735,4,5,8,3,1,3,2,5,1,1,5,1,5,4,15,5,1
565,333583.228,4090279.425,5,5,6,3,1,5,2,5,3,1,5,1,5,4,15,5,1
765,332063.824,4092282.588,5,4,8,2,1,5,2,5,4,1,5,1,5,4,15,5,1
689,317776.0682,4110122.506,4,5,6,3,1,1,2,5,5,1,5,1,5,4,15,5,1
604,332718.0493,4090327.296,5,4,6,2,1,5,2,5,3,2,5,1,5,4,15,5,1
714,269536.3041,4119940.538,3,4,8,1,1,3,2,5,1,3,5,1,5,4,15,5,1
639,305343.8087,4107501.63,3,4,8,3,1,3,2,5,1,3,5,1,5,4,15,5,1
663,317226.1775,4096104.48,3,4,8,3,1,4,2,5,1,3,5,1,1,6,15,5,1
647,326277.0966,4087589.233,3,4,8,2,1,2,2,5,4,3,5,1,3,6,15,5,1
681,326450.4902,4086383.269,3,4,6,1,1,2,2,5,5,3,5,1,3,3,15,5,1
528,319834.0742,4094291.099,3,4,8,2,1,2,2,5,5,3,5,1,1,4,15,5,1
785,315194.1129,4102716.514,5,4,1,1,1,3,2,5,1,5,5,1,5,4,15,5,1
799,336778.4102,4021192.118,5,4,6,1,1,3,2,5,1,2,5,3,1,5,15,5,1
1019,258554.67,4121667.976,3,4,9,3,1,3,2,2,1,2,2,4,5,5,15,5,1
999,268488.9911,4109666.199,3,4,4,1,1,4,2,5,1,3,2,4,5,4,15,5,1
805,328299.3734,4035167.093,4,5,7,1,1,1,2,2,1,2,3,4,4,4,15,5,1
940,331960.3304,4027449.694,5,3,7,1,1,1,2,5,1,1,5,4,1,4,15,5,1
584,226350.1623,4061091.737,5,4,8,2,1,3,2,5,5,4,5,4,4,5,15,5,1
577,237935.4746,4068412.276,4,5,4,1,1,2,5,5,4,5,5,4,5,4,15,5,1
682,239486.6334,4069598.995,5,5,2,1,1,2,4,5,5,5,5,4,5,4,15,5,1
631,274616.4615,4084577.546,5,4,3,3,1,4,2,2,5,5,3,5,5,5,15,5,1
974,328263.537,4093992.78,5,5,3,1,1,4,4,5,1,2,1,1,2,5,16,5,1
526,317164.9686,4106990.574,4,4,7,2,1,1,2,5,3,2,1,1,5,4,16,5,1
693,308868.9072,4073100.362,2,3,7,2,1,3,2,5,3,2,1,1,3,5,16,5,1
640,312887.9069,4109057.853,3,4,3,3,1,1,2,5,5,2,1,1,5,4,16,5,1
844,332779.1345,4085886.43,2,5,8,3,1,4,2,5,5,2,1,1,3,4,16,5,1
553,318591.4997,4107853.938,4,5,4,3,1,1,2,5,1,1,2,1,5,4,16,5,1
673,333294.8873,4090716.736,5,4,9,2,1,5,2,5,3,1,2,1,5,4,16,5,1
1020,332026.2559,4091635.799,5,5,8,2,1,5,2,5,4,1,2,1,5,4,16,5,1
950,319169.5004,4107163.179,5,5,2,2,1,1,2,5,1,2,3,1,5,4,16,5,1
916,302988.9935,4076256.16,5,4,7,3,1,5,2,5,5,2,3,1,3,5,16,5,1
