Soil_evaporation,Soil_evaporation variance,Soil_evaporation median,Lakes,Lakes entropy,Lakes mode,landcover entropy,landcover mode,Precipitation,Precipitation variance,Precipitation median,Soil_moisture,Soil_moisture variance,Soil_moisture median,NDVI,NDVI variance,NDVI median,Elevation,Elevation variance,Elevation median,soil_type entropy,soil_type mode,Aspect,Aspect variance,Aspect median,Curvature,Curvature variance,Curvature median,Plan_curvature,Plan_curvature variance,Plan_curvature median,Profile_curvature,Profile_curvature variance,Profile_curvature median,Distance_to_river,Distance_to_river variance,Distance_to_river median,Slope,Slope variance,Slope median,dust_storm,X,Y,Bare_Soil,Cropland,Natural_vegetation,Clay_Loam,Loam,Loam_Sand,Sand,Sand_Clay_Loam,Sand_Loam
0.9117391,0.014772639609873295,0.9117391,0,0.5363596511250623,0,-0.0,1,691.3726,0.0,691.3726,0.23472413,6.433999806176871e-05,0.23387787,0.23575,0.00804693,0.2373,2253,32210.61057893,2268.0,0.40790598013897633,7,338.43417,16370.458,102.02609,-1239202.9,2.1683643e+16,-52046520.0,8377914.5,7075852300000000.0,48483620.0,7138712.0,9300000000000000.0,-17318646.0,21.347155,6.0276084,21.347155,2.5201318,14.1709385,5.568569,0,39.73238463059408,39.85965670275271,False,False,True,False,True,False,False,False,False
0.21086957,1.1700000186465331e-06,0.2126087,0,-0.0,0,-0.0,6,82.6479,0.0,82.6479,0.13499138,4.890999844064936e-05,0.13499138,0.13225,2.024e-05,0.1281,714,50.32319867,709.0,-0.0,12,185.71059,12069.898,144.46233,-0.0,113339400000000.0,-1239202.9,0.0,53951374000000.0,114387.96,-0.0,28463591000000.0,-1549003.6,330.88092,4.8473406,330.88092,0.18341321,0.0111676,0.26809356,0,40.54039441866638,31.25610038552297,True,False,False,False,False,False,True,False,False
0.5063043,0.002113980008289218,0.56,0,-0.0,0,0.9755259511264973,3,610.755,0.0,610.755,0.17680746,0.0001450200070394203,0.1758908,0.20905,0.00023266,0.2007,643,1588.84381508,636.0,0.40790598013897633,7,254.39606,1449.665,229.39871,-2478405.8,875927300000000.0,-3717608.8,8279685.5,297202240000000.0,4229224.5,5801279.5,266696400000000.0,2140342.0,32.020733,4.210554,33.41358,0.89304113,0.21100298,0.9237841,0,38.42696953362023,37.153575242979066,False,True,False,False,True,False,False,False,False
0.52108693,0.0012535699643194675,0.5123913,0,-0.0,0,1.3551369511342362,1,276.31873,0.0,276.31873,0.15145977,6.653000309597701e-05,0.1558161,0.10945,0.00190533,0.1081,91,711.22865473,86.0,1.1658672602138733,9,200.22485,400.24243,206.75415,12392029.0,331371100000000.0,-3717608.8,-7575504.5,96489480000000.0,3646116.2,4816524.5,91343090000000.0,512773.62,20.25169,5.1678376,20.25169,0.77490723,0.05209196,0.68855464,0,45.13995757148158,33.956064528160255,False,False,True,False,False,False,False,False,True
0.24347825,2.9800000902469037e-06,0.245,0,-0.0,0,-0.0,6,101.62937,27.848986,101.62937,0.15089367,1.8500000805943273e-05,0.1486724,0.1279,1.654e-05,0.12435,772,99.27530196,762.0,1.2659351885052992,9,51.1155,4416.6704,88.36343,19827246.0,95404390000000.0,-2478405.8,-9294022.0,37351900000000.0,1487043.5,10533225.0,23724764000000.0,-1375515.2,222.05145,5.5708036,220.04144,0.3602782,0.01646683,0.25651768,0,40.34684797541542,32.498444021298425,True,False,False,False,False,True,False,False,False
0.19913043,5.389999842009274e-06,0.20173913,0,-0.0,0,-0.0,6,74.75311,1.0941857,74.75311,0.12739941,3.456999911577441e-05,0.12220403,0.0934,1.511e-05,0.09545,370,16.54144107,365.0,-0.0,12,193.3925,12848.285,104.03625,11152826.0,51429645000000.0,0.0,-4956811.5,14931840000000.0,0.0,6196014.5,15159329000000.0,-164012.16,166.04189,5.583825,166.04189,0.108206056,0.00429251,0.14573446,0,44.287878813145774,30.032311679099077,True,False,False,False,False,False,True,False,False
0.40347826,0.00353685999289155,0.52434784,0,-0.0,0,-0.0,3,377.03995,29.735407,377.03995,0.16243103,2.399000004515983e-05,0.16332759,0.1456,0.0006667,0.1483,340,60.80716368,340.0,0.5916727785823275,7,307.40536,19336.293,296.56506,2478405.8,35426157000000.0,-1239202.9,2.404959e-10,9598209000000.0,982009.9,2478405.8,14720717000000.0,0.0,4.7733693,6.7567515,4.7733693,0.1748725,0.00772968,0.2222833,0,41.04808883578376,36.61432926763109,False,True,False,False,True,False,False,False,False
0.23304348,6.790000043110922e-06,0.23456521,0,-0.0,0,-0.0,6,144.24701,0.0,144.24701,0.12334482,2.4060000214376487e-05,0.12859483,0.1159,4.052e-05,0.11715,176,24.97042899,177.0,-0.0,12,30.963757,13029.43,60.52411,-0.0,30085690000000.0,1239202.9,-2478405.8,12128492000000.0,-1538320.9,-2478405.8,9509119000000.0,852571.6,49.14484,6.24599,51.41076,0.043615032,0.0195615,0.1771502,0,43.03673860400894,32.55730117381347,True,False,False,False,False,False,True,False,False
0.4973913,0.001504860003478825,0.48869565,0,-0.0,0,-0.0,1,403.11172,0.37641385,403.11172,0.17164081,0.00011008999717887491,0.177625,0.1765,0.00023879,0.18,1123,49686.62224073,1129.0,0.5363596511250623,7,223.64325,2918.9597,224.7616,-133833910.0,1.5133105e+16,-65677750.0,97108380.0,5710886500000000.0,54571980.0,-36725532.0,3880962200000000.0,-5767152.0,70.961235,3.842155,70.961235,5.302594,21.46723,5.302594,0,46.064956409371796,34.2816665858171,False,False,True,False,True,False,False,False,False
0.50891304,0.00023628000053577125,0.4947826,0,-0.0,0,0.40790598013897633,1,250.13875,38.402195,250.13875,0.16661207,3.0989998776931316e-05,0.16641092,0.13745,0.0003174,0.121,73,4.40149938,71.0,0.14372616993938178,7,173.6598,1926.9767,180.0,4956811.5,6455888400000.0,0.0,-2478405.8,1781517300000.0,0.0,2478405.8,1857006900000.0,0.0,4.7733693,4.5523357,4.7733693,0.04646257,0.00059021,0.051394265,0,44.5037930686609,34.17332113554042,False,False,True,False,True,False,False,False,False
